"Размер","П/П/М","П/П/С","П/П/Д","П/Н/М","П/Н/С","П/Н/Д","П/У/М","П/У/С","П/У/Д","С/П/М","С/П/С","С/П/Д","С/Н/М","С/Н/С","С/Н/Д","С/У/М","С/У/С","С/У/Д","Д/П/М","Д/П/С","Д/П/Д","Д/Н/М","Д/Н/С","Д/Н/Д","Д/У/М","Д/У/С","Д/У/Д"
"225/45/19","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"225/55/19","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"235/45/19","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"235/50/19","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"235/55/19","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"235/65/19","10800","9000","6750","9000","7200","5400","5850","5400","3600","9000","7200","5850","8100","6300","5400","5850","4950","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"245/35/19","12600","10800","8100","9900","9000","6300","6300","5850","4500","10800","9000","6300","9000","8100","5400","6300","5400","4500","7650","6750","5400","5850","5400","4050","4500","3600","2700"
"245/40/19","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"245/45/19","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"245/55/19","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"255/35/19","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"255/40/19","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"255/45/19","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"255/50/19","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"255/55/19","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"265/50/19","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"275/35/19","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"275/40/19","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"275/45/19","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"275/55/19","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"285/35/19","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"285/45/19","18000","14400","10800","13500","11700","10800","10800","9900","8100","13500","11700","9000","11700","10800","8100","8100","7200","6300","10800","9900","7200","7650","6750","5400","5400","4500","3600"
"295/30/19","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
